W5000,SP500,NASDAQ,DJ
0.524749215,0.426314501,0.596222417,0.907703068
1.05742816,1.188450429,0.30413052,2.023025685
-0.078517152,0.10866023,-0.048990791,1.204610656
-2.589557588,-2.2255677,-3.348427013,-2.39739924
-1.301772528,-1.50670412,-0.742552491,-1.560709583
0.37190321,0.315149957,0.899510575,0.309141629
0.138654493,0.029962547,0.393840448,0.008258235
-0.341537832,-0.172407374,-0.196726336,-0.37955027
0.287115272,0.134952787,0.518722992,0.141853542
0.598468351,0.560351124,0.386033117,0.361488485
0.614988182,0.408937705,-1.101870221,0.341694187
-0.21535488,-0.297243289,1.963794198,-0.236591548
-2.006265895,-2.045030295,-1.428952618,-2.113865156
-0.306942421,-0.220524024,-0.317532587,-0.467071326
-0.793739931,-0.840919259,-0.490879253,-0.61589539
0.174794143,-0.023033514,0.202716469,-0.026586835
-0.430127328,-0.299919477,-0.706214036,-0.136235453
0.784700956,0.981001123,0.533931247,1.120537037
-0.435266854,-0.596651353,0.096312262,-0.730420198
-0.016294607,-0.076751865,0.258064659,0.667208405
-0.58391073,-0.531199525,-0.035381233,-0.170871698
-2.254448598,-2.058873319,-2.415057257,-1.598314437
1.00465256,1.213939801,0.243114047,0.974586473
0.268970278,0.101147645,0.520445356,0.063715914
0.916729883,0.805519033,0.880116207,0.506158625
0.983731244,0.745497823,0.801709185,0.583448202
-0.956150075,-1.023597655,-0.476191376,-0.539096216
-0.078290731,-0.023209934,-0.116861025,0.152968945
-0.685605769,-0.776763265,-0.453492408,-0.649352931
-0.573943699,-0.594401875,-0.614724542,-0.626901244
-0.346560473,-0.392989581,-0.370656795,-0.538496192
0.432635892,0.65151924,0.046407302,0.866805694
0.451060076,0.522846405,0.385892275,0.786529246
-1.3920847,-1.466175467,-1.027185329,-1.461370572
-0.134177042,-0.023697619,-0.233748126,0.292064719
0.51741833,0.606468208,0.399637226,0.971665842
0.158493661,0.03140457,0.454781146,0.091998759
0.626956565,0.883128713,0.025777847,0.873459907
1.206538247,1.221885127,1.097109333,1.291912139
0.542372702,0.89528853,0.95398298,0.800461678
0.565202535,0.562140648,0.528875235,0.349283607
-0.906160809,-1.104478608,-0.357313986,-1.23149071
0.193599414,0.229515823,0.201460657,0.559496881
-0.539449377,-0.713220555,0.150829591,-0.704526534
0.471991749,-0.061590579,0.42111658,0
0.785905098,0.973299633,0.124990642,1.215858031
-0.537796337,-0.504626807,-0.556155453,-0.385823534
-0.288160087,-0.391690528,-0.438078195,-0.514346632
2.192407358,2.462691913,1.258698262,2.263198835
0.142146435,-0.060082615,0.744715983,-0.410004674
1.076914632,1.172574023,0.626219349,1.711833248
-0.463511076,-0.565898755,-0.122961922,-1.028415535
0.247473239,0.223763799,0.397849195,0.15403282
-0.369276372,-0.567843725,0.220345297,-0.755315005
0.747931596,0.463482926,0.895949899,0.628481694
1.108326557,1.193623542,0.642653996,1.144712379
-0.51597541,-0.75455307,0.038524512,-0.809858653
2.270258638,1.795618191,0.772167574,1.89828456
-0.427310861,-0.614531161,0.105052058,-0.936186315
-1.712105175,-1.19593925,-0.339429034,-1.097714643
-0.266844247,-0.275164715,0.205707251,-0.263722258
0.823143361,1.272771362,0.443459707,1.173342519
0.840953151,0.418241795,0.550390458,1.017843189
-0.008409663,-0.183224061,0.292936661,-0.507131057
-0.412238502,-0.610722622,0.325004408,-0.1884809
-1.066184359,-1.158056146,-0.651068539,-1.28614959
0.022758145,-0.014934289,0.231662161,-0.135874372
0.342878167,0.743995694,0.489919955,0.054371905
0.360067592,-0.178054799,0.520260835,0.542099247
0.09810392,-0.118879574,0.578009347,0.144064854
-1.043120212,-1.016223346,-0.381857594,-0.713346358
-0.506681186,-0.353609818,-0.439540594,-0.409634021
1.08029041,1.116743852,-0.276871995,1.266837985
0.500545422,0.394243081,1.788423226,0.385594986
0.49384206,0.555248511,0.419171944,1.024980282
-0.879634649,-0.904782203,-0.377636997,-0.989186454
-0.035403494,-0.067071583,0.212020728,0.107304676
-0.011331766,-0.149209219,0.381425522,0.322214735
0.790138716,0.891933964,0.703874198,0.992808383
0.213393314,0.251274983,0.145639931,0.361964786
-0.901592336,-0.852456887,-1.028556987,-0.697706874
-0.886235133,-0.957446165,-0.649996526,-1.247758922
0.016417255,-0.180546201,0.240207063,-0.656323064
-0.002141228,-0.067788953,-0.027686771,-0.216721768
-1.623325832,-1.556658488,-1.562822506,-1.669153048
-0.323339174,-0.268209671,-0.833200857,-0.683561884
0.406729011,0.352355784,0.203055343,0.092507895
0.713576819,0.678227024,0.789403592,0.517490767
0.142393822,-0.007595033,0.550759852,-0.203602503
-1.376297964,-1.492165269,-0.958780116,-1.336212557
0.646367716,0.775644176,0.154962347,0.763086225
0.05861983,-0.130133597,0.309206149,-0.315695255
0.668435781,0.557615164,0.652743832,0.547189939
0.662569531,0.675652599,0.616184859,1.314962133
0.200411588,0.279551389,0.198408186,-0.018258171
-0.356883221,-0.340097822,-0.378700864,-0.586028598
0.167893759,-0.068158585,0.696256415,-0.321942972
-0.043553852,-0.189573516,0.330290681,-0.0276434
-0.120049749,-0.319294782,0.402212709,-0.499921485
0.948596149,1.090506831,0.459645381,1.25175487
0.728969585,0.75035994,0.872499375,0.92863952
-0.130161172,-0.239503146,0.511808606,0.111704307
-0.665407066,-0.646521572,0.071623621,-0.251762469
-0.190120869,-0.135849077,-0.201572332,0.624213595
-1.388573556,-1.361082488,-1.549928228,-1.055695194
0.025197168,0.068878432,-0.319285073,0.225572752
0.209969301,0.191080427,0.360262149,-0.300539071
0.814123524,0.957526884,0.734730504,0.711933652
-0.017101325,0.015125161,-0.208078964,0.185982973
-0.316188306,-0.204382948,-0.376545755,-0.120598182
0.284115436,0.264860725,0.177107741,-0.056328963
1.06359089,1.07491545,0.876366453,1.353141118
-0.121385789,-0.194581711,0.188721692,-0.113224425
0.062828484,0.089853993,0.089742445,0.565832642
-1.101313961,-1.098746755,-1.07319423,-0.859422157
0.6557214,0.881461239,0.013599583,0.321410901
-1.120595685,-1.268132936,-0.864978533,-1.140037626
0.651644989,0.477436396,0.387889231,0.104452288
-0.203896924,-0.242222509,-0.438196794,-0.199960878
0.970836594,1.055418768,0.287783128,1.24548055
-0.495248689,-0.518778653,-0.210045739,-0.730814473
0.171028162,0.113007131,0.246530439,-0.256500316
-0.275492048,-0.188416229,0.204978777,-0.392031221
-0.57186203,-0.506713128,-0.703231356,-0.83744282
