
              X1               X2               X3               X4               X5 
      0.47412668       0.77794255       0.29766253        1.0346172        2.0033637 
      0.53610496       0.83727749       0.34320427       0.95219994        3.5734763 
       1.7231041       0.69887704       0.26317029       0.77345148        20.700500 
      0.51660934       0.79987352       0.27610646       0.94716085        3.1139914 
       1.0121144       0.72717013       0.46909020       0.89210788        5.2695606 
      0.19324848       0.90997374       0.33366687        1.0576669        1.9689486 
       1.4084097       0.62046040       0.42591059       0.78516336        4.5730534 
      0.23750246       0.91409996       0.38636598       0.99752428        2.0541482 
      0.47376720       0.86813750       0.50233325       0.94631212        3.8767847 
      0.34590596       0.87775734       0.35829528       0.94487744        2.9870252 
      0.43960760       0.83152198       0.28287060        1.0736952        2.3151078 
      0.24860640       0.88686115       0.56612022       0.97127422        1.9387943 
      0.31343144       0.90959770       0.58575224       0.83796089        3.4917984 
      0.19589591       0.91960480       0.61702442       0.86505544        2.3734578 
      0.40995085       0.87258626       0.56338125       0.85801483        3.2270392 
      0.22711287       0.93751119       0.33354895       0.94308054        6.5945115 
      0.32702171       0.89826815       0.45888636       0.94867657        3.5670171 
       1.1680136       0.75984173       0.71146405       0.78038744        9.1814539 
      0.11118671       0.94434793       0.49042324        1.0795272        1.7145895 
      0.41331632       0.86443674       0.24193911       0.98264712        4.1365713 
      0.47147607       0.88820629       0.26290400       0.79060249        6.2307496 
      0.25298526       0.88664124       0.33873895       0.96058502        2.3703206 
      0.89983104       0.79430128       0.45374848       0.85730160        10.994077 
      0.38343657       0.85449412       0.36361815       0.96298553        3.5091631 
      0.18243904       0.91904325       0.63898030        1.1194761        1.6270843 
      0.10000392       0.95827931       0.33086100       0.98856662        2.2502096 
      0.32280229       0.90949677       0.25165251       0.97386259        3.7134941 
      0.20934322       0.91587644       0.35732714        1.0137947        2.5496454 
      0.30112896       0.93101275       0.31532790       0.81840997        9.6404692 
      0.53247171       0.86344198       0.51445979       0.83759495        3.8503732 
      0.13310618       0.95273391       0.31632674       0.93229717        2.4547441 
      0.62706649       0.80166154       0.53553356        1.0132161        2.9373131 
       1.1372492       0.67832767       0.38503946       0.84476837        5.1676015 
      0.73459849       0.74789630       0.35748658        1.0164455        3.7920213 
      0.15612975       0.93586846       0.20243817        1.0193502        2.3356220 
      0.46234732       0.87990725       0.29362155       0.88376277        6.0419171 
      0.31463977       0.91411517       0.32610287       0.90535045        4.2250375 
      0.70843130       0.81438428       0.50731952       0.89014349        4.3972804 
      0.56683279       0.82422208       0.62105894       0.83515939        3.3977499 
      0.26406918       0.91860845       0.53989044       0.89752816        3.8455311 
      0.44519848       0.82760327       0.42959008        1.0754868        2.4146659 
      0.25015884       0.93852120       0.36987285       0.87124663        4.0081566 
      0.52498530       0.82820413       0.43244720        1.0384258        2.7861211 
      0.70838633       0.74703118       0.42270491       0.86725751        3.2358739 
      0.48636600       0.71791419       0.29156514        1.2572955        1.4260415 
      0.40535066       0.87002969       0.38623579       0.85048462        3.7109717 
      0.39502321       0.84743587       0.31879434        1.0995701        2.3117570 
